show_id,type,title,date_added,release_year,rating,duration,listed_in,description
s171,Movie,World's Most Dangerous Shark?,16-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Are Oceanic White Tips the most dangerous of all the sharks?
s172,TV Show,So Random!,14-Jul-21,2011,TV-G,1 Season,"Comedy, Coming of Age",A musical sketch comedy show.
s173,Movie,Flicka,9-Jul-21,2006,PG,95 min,"Animals & Nature, Coming of Age, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.
s174,Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",9-Jul-21,2021,TV-Y7-FV,54 min,"Animation, Fantasy",Marinette heads to Shanghai to meet Adrien.
s175,Movie,Orca vs. Great White,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Researchers investigate if orcas are hunting great whites in New Zealand.
s176,Movie,Rogue Shark?,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary","A vacation hot spot is rocked by a series of shark attacks, chaos reigns."
s177,Movie,Shark Beach with Chris Hemsworth,9-Jul-21,2021,TV-PG,44 min,"Animals & Nature, Documentary",Chris Hemsworth investigates how we can live harmoniously with sharks.
s178,Movie,Shark Gangs,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Scientists investigate why some sharks roam the oceans in gangs.
s179,Movie,The Croc That Ate Jaws,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",What happens when two of the deadliest predators go head to head?
s180,TV Show,When Sharks Attack,9-Jul-21,2013,TV-14,7 Seasons,Reality,National Geographic investigates shark attacks.
s181,TV Show,Breaking Bobby Bones,7-Jul-21,2021,TV-14,1 Season,"Action-Adventure, Docuseries, Reality",Bobby Bones travels to meet local heroes who challenge him to conquer their trades.
s182,TV Show,Mickey Mouse Mixed-Up Adventures,7-Jul-21,2019,TV-Y,1 Season,"Animation, Kids, Sports",Hot Dog! Get mixed-up with Mickey and all of his pals!
s183,TV Show,Monsters at Work,7-Jul-21,2021,TV-G,1 Season,"Animation, Comedy, Family","""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester."
s184,Movie,"The Good, The Bart, and The Loki",7-Jul-21,2021,TV-PG,6 min,"Animation, Comedy, Fantasy","Banished from Asgard once again, Loki takes on the Simpsons and Springfield’s mightiest heroes."
s185,TV Show,Disney Raven's Home,2-Jul-21,2016,TV-G,4 Seasons,"Comedy, Family, Fantasy",Raven and Chelsea raise their three children together.
s186,Movie,The Sandlot,2-Jul-21,1993,PG,101 min,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.
s187,Movie,The Sandlot 2,2-Jul-21,2005,PG,98 min,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge."
